building_id,height_m,height_quality,height_valid,confidence,full_plus_code,distance_from_center_m,area_m2,intersects_boundary
06b500000000001eaa16,8.53125,HIGH,1,0.7594000101089478,6P58RRC6+8Q8W,1099.5,24.0,False
06b5000000000015d2a7,3.9921875,HIGH,1,0.8503000140190125,6P58RR6H+R5H7,1099.6,162.9,False
06b500000000001cdd77,4.9296875,HIGH,1,0.7329999804496765,6P58RRF7+M48F,1099.7,27.6,False
06b500000000002356e8,7.8515625,HIGH,1,0.8008000254631042,6P58RR96+6R53,1099.8,63.0,False
06b500000000001fe180,5.5703125,HIGH,1,0.6604999899864197,6P58RRG7+HM44,1099.9,39.7,False
06b50000000000369d88,3.9921875,HIGH,1,0.8274999856948853,6P58RRH8+8GG6,1100.0,73.0,False
06b5000000000005964f,3.78125,HIGH,1,0.7384999990463257,6P58RR87+464Q,1100.0,61.0,False
06b50000000000078e63,5.6015625,HIGH,1,0.6922000050544739,6P58RR7J+P2GW,1100.1,25.9,False
06b50000000000405ab2,6.546875,MEDIUM,1,0.7159000039100647,6P58RR68+FVVP,1100.2,11.1,False
06b500000000002d9563,6.9140625,HIGH,1,0.8555999994277954,6P58RR6C+3388,1100.4,134.2,False
06b50000000000195aef,10.3515625,HIGH,1,0.9402999877929688,6P58RR6G+768W,1100.4,395.2,False
06b500000000000c5ee2,2.5,LOW,1,0.7214999794960022,6P58RR6H+P3JR,1100.4,30.3,False
06b500000000000a0fd6,8.1171875,HIGH,1,0.77920001745224,6P58RR6C+3544,1100.4,55.4,False
06b500000000001f8f6b,4.6640625,HIGH,1,0.7645999789237976,6P58RR68+CXFQ,1100.5,41.2,False
06b5000000000002ee09,68.25,HIGH,1,0.9301999807357788,6P58RRCJ+VR2C,1100.7,2627.9,False
06b5000000000027f099,10.265625,HIGH,1,0.761900007724762,6P58RR77+8QG5,1100.7,72.6,False
06b5000000000030105b,4.78125,HIGH,1,0.7806000113487244,6P58RR69+5J8V,1100.9,39.2,False
06b500000000004046c6,5.15625,HIGH,1,0.8177000284194946,6P58RR87+56C4,1100.9,46.9,False
06b500000000000a6758,9.015625,HIGH,1,0.8277000188827515,6P58RR6F+4J23,1101.0,67.2,False
06b500000000003716b9,4.46875,HIGH,1,0.6603999733924866,6P58RRH8+69Q5,1101.1,35.7,False
06b50000000000050aa2,6.4296875,HIGH,1,0.7146000266075134,6P58RR7H+MX5P,1101.2,63.7,False
06b5000000000034f301,4.734375,HIGH,1,0.7516000270843506,6P58RR87+H27P,1101.3,98.4,False
06b50000000000004faa,6.0390625,HIGH,1,0.7469000220298767,6P58RRC6+2QRF,1101.3,123.5,False
06b500000000003faf29,2.4453125,HIGH,1,0.8130999803543091,6P58RRG7+RWP6,1101.4,59.5,False
06b5000000000023ec0c,5.0,HIGH,1,0.7526999711990356,6P58RR87+F2X9,1101.4,97.6,False
